"","SRR6078283.bam","SRR6078284.bam","SRR6078285.bam","SRR6078300.bam","SRR6078301.bam","SRR6078302.bam"
"PQLC2",398,265,370,503,473,630
"CAPZB",3695,3952,4751,4913,5836,3757
"LOC105376819",0,1,6,2,1,1
"LOC105376818",0,0,0,0,0,0
"LOC105376817",1,0,0,0,0,1
"LOC105378614",0,0,0,0,0,0
"MICOS10-NBL1",0,0,0,0,0,0
"MICOS10",393,266,356,481,607,461
"RPS14P3",213,118,513,156,160,554
"NBL1",19,27,75,126,62,118
"HTR6",5,4,1,2,4,3
"TMCO4",529,485,673,385,503,523
"RNF186",0,0,0,0,0,0
"LOC105376823",2,1,1,2,3,3
"OTUD3",355,380,270,552,519,487
"PLA2G2E",0,0,0,0,0,0
"PLA2G2A",0,0,0,1,0,2
"PLA2G5",0,8,3,17,7,19
"PLA2G2D",0,0,0,0,0,0
"PLA2G2F",0,0,0,0,0,0
"PLA2G2C",0,0,0,0,0,0
"UBXN10",0,0,0,0,1,3
"UBXN10-AS1",0,0,0,0,0,0
"LOC105376825",0,0,0,0,0,0
"LOC105376826",0,0,0,0,0,0
"LINC01757",0,0,0,0,0,0
"LOC105376828",0,0,0,0,0,0
"VWA5B1",0,0,0,0,0,1
"LINC01141",0,0,1,1,1,2
"CAMK2N1",233,280,688,525,565,1062
"MUL1",566,339,648,777,804,753
"FAM43B",0,2,2,5,7,2
"CDA",9,15,21,113,61,3
"PINK1",781,816,921,1741,1211,804
"MIR6084",0,0,0,0,0,0
"PINK1-AS",219,142,193,107,183,230
"DDOST",6571,6954,9564,6565,7462,8313
"KIF17",31,16,34,27,24,25
"SH2D5",118,124,190,161,86,80
"LOC112268222",22,11,17,26,27,28
"HP1BP3",3658,3278,3073,3462,4641,4136
"EIF4G3",2479,1720,1925,2906,3103,3065
"LOC105376830",4,3,2,11,15,16
"LOC105376829",2,3,1,6,3,5
"MIR1256",1,0,0,0,0,1
"ECE1",5598,3520,5146,4604,3702,5854
"LOC100506801",9,5,5,10,11,5
"LOC105376832",0,0,0,0,0,0
"NBPF3",476,479,496,266,278,967
"ALPL",7,10,11,18,162,8
"LOC105376834",0,0,0,0,1,0
"RAP1GAP",18,16,22,8,8,11
"USP48",1416,1970,1259,1542,1846,1882
"LDLRAD2",27,44,17,22,34,45
"HSPG2",11707,10811,8950,19194,19882,23300
"CELA3B",0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0
"LINC01635",6,2,2,7,3,6
"LINC00339",177,145,232,168,252,232
"LOC112268223",3,9,2,7,3,1
